-416,425,786,-281,-104,-251,58,9,89,12707,5237,967,-8866,-7708,-7336,14040,-300,437,749,-46,84,44,16,177,179,167,0,0
-402,408,756,-276,-115,-236,-13,81,-17,12690,5276,981,-8866,-7528,-7180,13396,-845,-112,-38,-50,86,32,16,177,179,167,0,0
-418,414,756,-288,-110,-260,48,82,-94,12656,5300,1023,-8895,-6488,-6864,13168,-892,317,-692,-54,86,40,16,177,179,167,0,0
-435,392,778,-272,-99,-252,143,30,42,12635,5347,1008,-8899,-6524,-7536,13604,-615,1143,447,-49,79,35,16,177,179,167,0,0
-442,433,762,-276,-110,-264,123,87,82,12632,5448,971,-8845,-7484,-7580,13580,-949,853,624,-49,79,35,16,177,179,167,0,0
-405,465,734,-272,-115,-251,-42,5,-20,12646,5461,1004,-8813,-7880,-6968,13444,-275,-238,-143,-53,83,35,16,177,179,167,0,0
-407,427,728,-283,-104,-256,40,7,-27,12622,5468,1013,-8843,-7344,-7360,13176,-245,352,-78,-48,82,42,16,177,179,167,0,0
-444,419,737,-296,-115,-248,33,-27,84,12620,5501,965,-8831,-7804,-7520,13064,10,76,768,-47,81,41,16,177,179,167,0,0
-446,432,739,-278,-104,-243,-1,-65,88,12662,5476,903,-8792,-7908,-7764,13252,414,-609,875,-49,79,41,16,177,179,167,0,0
-465,456,745,-284,-115,-248,-57,-56,215,12756,5405,848,-8705,-7776,-8000,13668,408,-1193,2448,-49,79,41,16,177,179,167,0,0
-426,490,693,-278,-86,-225,-77,-45,475,12979,5306,745,-8442,-7940,-6900,11908,740,-1410,4146,-42,88,32,16,177,179,167,0,0
-351,387,775,-267,-81,-228,-354,-405,629,13283,5028,561,-8148,-5080,-6076,14828,3155,-2600,5389,-52,66,38,16,177,179,167,0,0
-242,372,871,-286,-62,-214,-248,-270,952,13756,4529,317,-7655,-5884,-4992,15464,1759,-1838,7947,-57,65,25,16,177,179,167,0,0
-131,388,845,-278,-56,-187,-628,-200,948,14278,4077,178,-6923,-4136,-2740,14988,1807,-3538,8108,-52,52,18,16,177,179,167,0,0
-112,446,925,-276,-3,-163,-934,-97,1605,14871,3467,-57,-5940,-5280,-1020,16688,631,-6989,12385,-52,52,18,16,177,179,167,0,0
74,304,982,-264,36,-129,-1208,109,3384,15655,2612,-165,-4064,-5828,1844,16812,-2202,-8829,28195,-40,34,14,16,177,179,167,0,0
97,372,977,-225,120,-88,-945,8,2759,16237,1679,-294,-1371,-6060,1856,17676,-845,-6361,19581,-25,1,7,16,177,179,167,0,0
-2,399,1001,-156,190,-65,-808,-96,-285,16346,1044,-365,-98,-12520,1732,16744,615,-7094,-12829,0,-4,4,16,177,179,167,0,0
193,281,1008,-148,179,-51,-583,-179,-6158,16030,504,-299,-3337,-6736,5712,18352,1503,-4604,-32768,-32,48,-12,16,177,179,167,0,0
246,-266,865,-235,-8,8,-2089,1689,-6561,13838,-382,842,-8723,7100,7032,14520,-13125,-16130,-32768,-32,48,-12,16,177,179,167,0,0
