92,-1109,118,-70,-286,272,2934,-1175,-209,11095,-11935,871,-1461,16436,-2148,9532,9664,13839,-3247,39,183,-33,0,0
12,-972,-157,-35,-244,289,-304,-318,884,10837,-12172,1196,-1186,15764,-316,-728,3912,-4,6947,47,173,-43,0,0
0,-1024,-138,-70,-280,272,-597,-58,243,10682,-12318,1474,-653,16480,-144,-1936,-911,-4931,957,46,176,-38,0,0
-41,-966,-140,-88,-273,265,159,61,4,10539,-12432,1537,-665,16036,-1044,-1256,-890,742,75,46,172,-36,0,0
-66,-968,-157,-70,-286,272,150,159,34,10576,-12389,1597,-748,16144,-1228,-1464,-1493,1090,283,46,172,-36,0,0
-92,-956,-162,-70,-286,265,88,121,57,10593,-12357,1687,-824,15560,-1708,-1764,-1049,530,633,41,179,-37,0,0
-87,-966,-150,-83,-268,265,104,-11,81,10606,-12336,1759,-822,16376,-1744,-1600,-80,566,774,31,179,-39,0,0
-78,-949,-141,-88,-280,265,-63,-10,24,10622,-12319,1802,-780,16348,-1292,-1480,-188,-725,350,39,177,-41,0,0
-66,-969,-175,-94,-280,260,-51,5,39,10560,-12368,1844,-755,16004,-1252,-1768,-328,-100,448,32,174,-30,0,0
-87,-965,-156,-83,-268,265,-51,7,15,10575,-12351,1868,-748,16068,-1788,-1908,-128,-382,360,32,174,-30,0,0
-87,-960,-142,-83,-273,265,-58,-37,8,10573,-12355,1865,-722,16220,-1532,-1680,32,-825,121,36,180,-28,0,0
-82,-971,-152,-88,-280,260,37,-3,0,10551,-12378,1847,-699,16356,-1652,-1632,-193,189,77,40,174,-38,0,0
-84,-950,-170,-94,-273,252,-51,8,-17,10549,-12380,1846,-702,16080,-1492,-2040,-281,-505,-7,39,181,-31,0,0
-83,-963,-166,-99,-268,252,-47,20,-4,10526,-12398,1848,-717,16240,-1552,-1984,-483,-365,-8,35,177,-35,0,0
-85,-964,-168,-88,-286,241,-13,42,-6,10514,-12403,1871,-747,16184,-1608,-2024,-589,-138,59,35,177,-35,0,0
-97,-968,-164,-99,-280,259,-49,32,8,10511,-12401,1890,-767,16308,-1444,-2104,-603,-265,5,36,174,-36,0,0
-80,-958,-174,-94,-273,259,-4,49,3,10502,-12404,1914,-794,16328,-1488,-2240,-615,-203,127,41,179,-27,0,0
-81,-961,-176,-105,-280,265,17,20,0,10500,-12400,1940,-821,16236,-1744,-1728,-349,138,87,40,174,-28,0,0
-84,-959,-170,-105,-304,235,-85,-13,11,10479,-12415,1956,-825,16272,-1508,-1956,-174,-793,154,32,172,-32,0,0
-79,-957,-180,-99,-291,246,-147,-11,34,10400,-12480,1971,-798,15996,-1548,-2068,-198,-1584,425,32,172,-32,0,0
-83,-951,-210,-99,-297,235,-252,-4,50,10253,-12598,2007,-754,16208,-1388,-2660,-165,-1903,285,32,186,-26,0,0
-81,-952,-224,-105,-304,241,-133,-8,14,10133,-12694,2026,-720,15928,-1644,-2856,-207,-834,229,35,183,-25,0,0
-85,-942,-247,-94,-304,228,-75,6,2,10073,-12737,2050,-723,16084,-1828,-3448,-316,-497,132,37,171,-19,0,0
-96,-942,-223,-105,-315,228,10,-6,-1,10073,-12737,2050,-722,15844,-1752,-2776,-241,-481,165,31,187,-21,0,0
-87,-937,-269,-94,-304,209,-56,3,16,10018,-12780,2060,-706,15844,-1568,-3704,-224,-126,198,31,187,-21,0,0
-93,-940,-234,-99,-297,228,-16,-5,5,10027,-12774,2058,-698,15964,-1772,-3148,-247,-380,184,26,186,-24,0,0
-86,-937,-254,-94,-308,235,-18,4,9,10001,-12793,2066,-690,15996,-1716,-3248,-261,-213,181,26,186,-32,0,0
-89,-941,-245,-105,-308,228,-33,2,25,9991,-12800,2077,-681,15972,-1872,-3592,-227,-364,189,32,190,-26,0,0
-95,-938,-239,-105,-315,228,48,-5,12,10002,-12790,2085,-675,15872,-1772,-3192,-187,274,186,38,188,-22,0,0
-89,-938,-250,-112,-308,228,-74,17,24,9988,-12800,2098,-662,15864,-1636,-3216,-413,-692,311,38,188,-22,0,0
-101,-937,-256,-105,-297,228,-10,7,7,9955,-12822,2121,-658,15800,-1888,-3364,-319,-154,155,26,188,-22,0,0
-100,-930,-259,-105,-308,204,-26,13,4,9945,-12828,2130,-661,15760,-1820,-3476,-343,-306,138,35,183,-13,0,0
-101,-940,-243,-99,-304,222,26,-5,-3,9941,-12830,2135,-662,15856,-1936,-3148,-270,81,77,33,191,-19,0,0
-101,-941,-275,-94,-297,235,-20,4,1,9916,-12848,2141,-661,15928,-1904,-3652,-265,-174,142,33,191,-19,0,0
-105,-935,-262,-105,-308,222,-41,-14,0,9907,-12856,2141,-654,15780,-1972,-3468,-113,-380,102,26,176,-22,0,0
-105,-936,-256,-99,-321,222,-48,-8,21,9884,-12873,2147,-638,15868,-1904,-3372,-204,-480,269,29,187,-17,0,0
-99,-934,-266,-105,-308,216,-10,1,12,9860,-12890,2160,-624,15840,-1872,-3544,-242,-132,191,25,189,-13,0,0
-105,-945,-271,-99,-315,216,15,1,8,9862,-12889,2162,-624,15940,-1960,-3648,-231,41,127,25,189,-21,0,0
-98,-925,-285,-94,-315,222,-17,30,3,9850,-12896,2167,-628,15480,-1848,-4040,-501,-31,145,25,189,-21,0,0
-105,-931,-285,-99,-308,216,26,-8,-19,9852,-12895,2166,-635,15628,-1940,-3876,-130,260,-57,30,186,-22,0,0
-98,-923,-268,-105,-308,217,49,-9,-13,9883,-12875,2147,-637,15552,-1872,-3780,-95,271,0,34,188,-22,0,0
-107,-933,-261,-105,-315,228,76,-31,-17,9923,-12850,2116,-626,15732,-1920,-3256,8,530,-50,34,188,-18,0,0
-99,-935,-260,-99,-321,228,39,-11,-4,9950,-12831,2103,-618,15740,-1908,-3296,-169,210,41,34,184,-20,0,0
-105,-941,-236,-99,-304,235,47,-15,-7,9977,-12811,2096,-616,15896,-1944,-2968,-136,167,49,34,184,-20,0,0
-95,-940,-252,-112,-297,217,21,-3,0,9973,-12814,2098,-613,15848,-1840,-3156,-219,49,151,35,185,-19,0,0
-102,-937,-256,-94,-308,228,18,-5,-4,9970,-12816,2099,-611,15864,-1892,-3416,-190,102,48,33,185,-19,0,0
-104,-942,-251,-112,-308,222,19,2,-5,9984,-12805,2099,-612,15900,-1852,-3352,-248,107,69,28,186,-26,0,0
-99,-937,-255,-88,-315,222,-8,-4,-7,9993,-12798,2099,-613,15852,-1932,-3476,-232,-13,49,32,188,-20,0,0
-103,-936,-244,-94,-304,217,1,3,-8,10001,-12792,2099,-614,15808,-1828,-3352,-287,-213,22,32,188,-20,0,0
-96,-940,-247,-94,-308,235,6,4,-7,9997,-12796,2097,-615,15920,-1872,-3228,-314,-83,37,26,182,-14,0,0
-101,-936,-250,-99,-297,222,38,1,-12,10003,-12791,2091,-623,15824,-1940,-3236,-270,190,21,34,184,-18,0,0
-96,-935,-256,-94,-291,228,-26,3,-18,10002,-12793,2083,-629,15776,-1692,-3380,-292,-304,-28,32,184,-30,0,0
-100,-942,-247,-99,-315,241,-32,7,-3,10001,-12795,2076,-633,15788,-2020,-3372,-328,-290,126,36,184,-20,0,0
-146,-943,-232,-94,-297,222,-8,-12,12,10004,-12791,2084,-626,15832,-2940,-3252,-7,-416,226,36,184,-20,0,0
-128,-911,-222,-88,-308,241,18,-98,-21,9997,-12805,2052,-573,15656,-2464,-2636,542,866,19,36,180,-22,0,0
-118,-995,-191,-99,-308,228,64,-67,-58,10115,-12722,1996,-541,16340,-2064,-2508,235,148,-638,32,180,-16,0,0
-78,-879,-213,-94,-291,241,30,84,-52,10120,-12727,1918,-590,14496,-948,-2480,-1504,-449,-268,34,178,-30,0,0
-27,-1025,-218,-105,-297,235,-246,146,51,10046,-12763,2036,-689,18828,-1492,-3408,-658,-753,330,34,178,-30,0,0
-92,-991,-54,-99,-308,235,28,-166,-94,10137,-12703,1971,-646,15348,-884,-868,548,-2233,-1142,36,190,-20,0,0
-55,-904,-178,-99,-308,228,-217,-144,-182,9935,-12888,1797,-637,15564,-1016,-2124,987,-2070,-1528,33,177,-17,0,0
0,-913,-156,-83,-308,235,-220,-150,-200,9871,-12966,1581,-620,16684,40,-2492,1127,-2388,-1170,45,193,-21,0,0
-78,-960,-160,-64,-326,217,94,-327,-179,9843,-13017,1368,-506,16092,-808,-1808,2337,-484,-1514,42,186,-14,0,0
4,-977,-211,-76,-332,217,-113,-405,-101,9773,-13102,1076,-321,16928,228,-2836,2708,-1144,-334,42,186,-14,0,0
11,-1084,-117,-48,-332,222,398,-465,125,9851,-13062,878,-51,18812,-380,-88,3765,3656,1981,49,187,-21,0,0
-104,-1190,-217,-41,-326,241,-275,-226,784,9997,-12933,984,519,21584,-1444,-2760,-1516,-494,4043,50,186,-24,0,0
-222,-955,-460,-59,-332,217,92,569,282,9771,-13050,1510,603,14856,-3664,-7704,-5649,6219,1534,44,190,-20,0,0
-277,-603,-535,-99,-315,228,736,555,104,10342,-12545,2020,123,10976,-4684,-8276,-3221,1409,1190,29,181,-27,0,0
-226,-855,-353,-123,-304,235,-410,-338,17,10142,-12692,2113,174,14908,-4564,-3296,2232,-327,24,29,181,-27,0,0
-179,-873,-314,-118,-315,228,-34,140,64,10096,-12731,2084,269,14696,-3120,-4328,-1453,-221,561,35,183,-17,0,0
-221,-872,-301,-128,-308,222,226,12,-13,10140,-12677,2209,167,14764,-3876,-3944,-426,1678,-26,25,185,-23,0,0
-149,-906,-310,-128,-304,235,109,190,-47,10195,-12620,2290,57,15300,-2668,-4544,-1687,922,-337,28,180,-16,0,0
-185,-869,-266,-112,-304,248,337,203,-39,10369,-12467,2342,-102,14544,-3344,-3696,-1913,2498,-256,25,171,-27,0,0
-197,-847,-199,-123,-291,241,560,-8,-214,10596,-12272,2339,-297,15904,-4596,-1836,-254,4077,-1447,25,171,-27,0,0
-55,-842,46,-118,-286,256,562,-210,-91,10730,-12152,2323,-476,13720,-2044,2712,961,2763,-122,27,165,-29,0,0
-85,-963,-242,-118,-273,262,-168,95,2,10513,-12317,2433,-522,16520,-1316,-3144,-959,-1176,218,30,174,-24,0,0
-107,-961,-122,-118,-291,243,-115,-68,43,10432,-12386,2447,-463,16312,-2140,-952,80,-968,518,32,172,-24,0,0
-89,-965,-171,-140,-297,230,57,39,114,10357,-12431,2537,-436,16360,-1696,-1516,-667,521,1031,20,176,-22,0,0
-153,-920,-184,-134,-297,219,-167,-21,109,10331,-12425,2676,-413,14736,-3144,-2724,-183,-1353,998,20,176,-22,0,0
-293,-1047,-235,-140,-280,249,389,-136,-10,10263,-12487,2662,-304,19016,-3716,-1964,765,2709,67,23,177,-15,0,0
-210,-933,-76,-140,-286,236,-176,216,108,10425,-12344,2695,-320,14724,-2796,-1956,-2071,-1593,860,25,179,-25,0,0
-157,-907,-95,-128,-286,236,425,72,-23,10582,-12191,2769,-426,15832,-2940,272,-910,3851,-17,20,176,-30,0,0
-276,-930,-16,-134,-262,243,247,309,110,10771,-11988,2898,-565,14904,-5060,176,-2606,1622,843,10,174,-32,0,0
-228,-954,14,-158,-257,262,239,240,-24,10867,-11851,3051,-758,15700,-4104,920,-2491,1721,-167,10,174,-32,0,0
