unix = 1717283782, lat = -38.835819, lon = -72.697968, alt = 62.799999, bat% = 85, batmV = 4001, regCount = 0
unix = 1717283902, lat = -38.835823, lon = -72.697937, alt = 54.900002, bat% = 85, batmV = 4001, regCount = 0
unix = 1717284022, lat = -38.835842, lon = -72.697990, alt = 57.400002, bat% = 85, batmV = 4001, regCount = 0
unix = 1717284142, lat = -38.835796, lon = -72.697952, alt = 56.000000, bat% = 85, batmV = 3997, regCount = 0
unix = 1717284262, lat = -38.835815, lon = -72.697906, alt = 60.599998, bat% = 85, batmV = 4001, regCount = 0
unix = 1717284382, lat = -38.835804, lon = -72.697937, alt = 56.500000, bat% = 85, batmV = 4001, regCount = 0
unix = 1717284502, lat = -38.835808, lon = -72.697891, alt = 53.400002, bat% = 86, batmV = 4006, regCount = 0
unix = 1717284622, lat = -38.835815, lon = -72.697937, alt = 57.200001, bat% = 85, batmV = 4001, regCount = 0
unix = 1717284742, lat = -38.835812, lon = -72.697945, alt = 66.199997, bat% = 85, batmV = 4001, regCount = 0
unix = 1717284862, lat = -38.835854, lon = -72.697906, alt = 71.800003, bat% = 85, batmV = 3997, regCount = 0
unix = 1717284982, lat = -38.835796, lon = -72.697990, alt = 58.700001, bat% = 85, batmV = 3997, regCount = 0
unix = 1717285102, lat = -38.835808, lon = -72.697960, alt = 63.700001, bat% = 85, batmV = 3997, regCount = 0
unix = 1717285222, lat = -38.835838, lon = -72.697960, alt = 64.000000, bat% = 85, batmV = 3993, regCount = 0
unix = 1717285342, lat = -38.835815, lon = -72.697945, alt = 63.500000, bat% = 85, batmV = 3993, regCount = 0
unix = 1717285462, lat = -38.835781, lon = -72.697945, alt = 59.000000, bat% = 85, batmV = 3997, regCount = 0
unix = 1717285582, lat = -38.835705, lon = -72.697235, alt = 88.800003, bat% = 85, batmV = 3993, regCount = 0
unix = 1717285702, lat = -38.835800, lon = -72.697922, alt = 66.099998, bat% = 85, batmV = 3997, regCount = 0
unix = 1717285822, lat = -38.835781, lon = -72.697937, alt = 59.000000, bat% = 85, batmV = 3993, regCount = 0
unix = 1717285942, lat = -38.835812, lon = -72.697929, alt = 64.000000, bat% = 85, batmV = 3993, regCount = 0
unix = 1717286062, lat = -38.835865, lon = -72.697960, alt = 80.800003, bat% = 85, batmV = 3993, regCount = 0
unix = 1717286182, lat = -38.835812, lon = -72.697914, alt = 66.099998, bat% = 85, batmV = 3993, regCount = 0
unix = 1717286302, lat = -38.835716, lon = -72.697922, alt = 56.599998, bat% = 85, batmV = 3993, regCount = 0
unix = 1717286422, lat = -38.835838, lon = -72.697884, alt = 59.500000, bat% = 85, batmV = 3993, regCount = 0
unix = 1717286542, lat = -38.835678, lon = -72.697968, alt = 45.000000, bat% = 85, batmV = 3993, regCount = 0
unix = 1717286662, lat = -38.835663, lon = -72.697922, alt = 56.799999, bat% = 85, batmV = 3993, regCount = 0
