unix = 1717761892, lat = -38.834026, lon = -72.699455, alt = 1000000.000000, bat% = 15, batmV = 3011, regCount = 0
unix = 1717761986, lat = -38.834095, lon = -72.699524, alt = 77.500000, bat% = 14, batmV = 2998, regCount = 704
unix = 1717762106, lat = -38.834141, lon = -72.699554, alt = 77.500000, bat% = 13, batmV = 2985, regCount = 1606
unix = 1717762226, lat = -38.834110, lon = -72.699387, alt = 73.400002, bat% = 13, batmV = 2985, regCount = 2409
unix = 1717762346, lat = -38.834122, lon = -72.699570, alt = 70.099998, bat% = 14, batmV = 2998, regCount = 3306
unix = 1717762466, lat = -38.834366, lon = -72.699448, alt = 70.099998, bat% = 14, batmV = 2998, regCount = 4274
unix = 1717762586, lat = -38.834263, lon = -72.699409, alt = 70.699997, bat% = 13, batmV = 2993, regCount = 5227
unix = 1717762706, lat = -38.834301, lon = -72.699371, alt = 70.500000, bat% = 14, batmV = 2998, regCount = 6212
unix = 1717762826, lat = -38.834351, lon = -72.699280, alt = 80.400002, bat% = 14, batmV = 2998, regCount = 7227
