543631;-817;2323;-3103;-519;-1512;-465;-144;29;-6;1166;484;-1273;-1025;387;-62;-30;243;2153;-539;-8137;8309;10933;-3694;20
543632;-677;1696;-1588;328;2206;-634;-146;26;0;1165;166;-872;-465;408;-51;9;-400;-2224;-602;-7676;7542;11644;-4129;20
543633;490;693;1697;-1518;2256;949;-149;28;10;1163;90;-418;193;366;-9;-86;1168;-2521;473;-5749;6983;12915;-4451;20
543634;-1469;1420;-3289;1527;-1341;-1707;-153;31;6;1176;864;-728;-947;342;-22;-142;-1719;1760;-1527;-6220;7229;12774;-3783;20
543635;-860;1340;-1651;-1347;2236;171;-156;32;11;1171;306;-836;-798;361;46;-112;1250;-2109;-61;-5532;6218;13672;-3498;20
543636;-597;425;-331;34;333;122;-155;35;13;1166;392;-113;-204;308;46;-208;37;-328;-32;-4783;5706;13965;-4241;20
543637;-854;812;-2564;2430;-2330;-2256;-158;36;14;1166;-49;-785;-971;297;48;-216;-2215;1779;-1670;-4662;5458;14093;-4277;20
543638;-471;-59;-1480;1777;-107;3243;-157;32;11;1170;176;-200;-948;326;105;-198;-1871;59;3343;-4842;6495;14030;-2445;20
543639;-2117;1703;-2375;-2976;1353;-2254;-158;33;11;1171;998;-430;-1421;313;70;-144;2549;-1366;-2748;-4807;6547;14001;-2535;20
543640;-818;775;66;-978;-257;1242;-154;34;12;1164;553;-276;-54;313;88;-198;980;237;1140;-5177;5745;13747;-4431;20
543641;144;-321;-1139;3118;-1665;-507;-147;30;9;1164;-496;-344;124;320;0;-180;-1797;1429;543;-5651;6716;12523;-5879;20
543642;-1427;2909;-1736;-2902;-42;2231;-152;30;8;1169;721;-1617;-765;326;33;-137;2344;174;2035;-5675;7648;12946;-3185;20
543643;-935;946;-1612;679;-23;-859;-149;29;8;1166;402;-389;-812;364;-24;-126;-656;-134;-858;-5813;7475;12665;-4287;20
543644;-260;697;192;-448;-487;1947;-148;29;6;1168;223;-291;203;360;4;-110;588;587;1796;-6163;7815;12292;-4276;20
543645;-647;630;-3137;-822;1226;-203;-146;28;1;1163;154;19;-218;371;-41;-60;158;-496;-611;-7261;7968;11791;-3634;20
543646;-1246;812;-2085;-575;-361;-220;-152;29;3;1164;520;-522;-970;361;17;-91;689;341;-334;-6140;8286;12482;-2507;20
543647;-398;1632;-689;-1216;-1606;4566;-145;31;0;1171;-43;-851;-318;371;28;-60;1677;1701;4545;-6471;9597;11339;-2424;20
543648;139;-1399;-189;-1402;-61;942;-139;32;-11;1162;-169;40;348;387;-99;27;1171;-22;656;-7995;10215;9080;-4209;20
543649;-2828;6901;-2357;805;512;-709;-149;27;0;1161;1770;-1611;-2279;387;-73;14;-151;-281;198;-6102;10019;11369;-1250;20
543650;-811;396;-816;-333;889;-1642;-144;30;-2;1163;318;-436;-499;387;-64;3;310;-870;-1805;-6490;10221;10771;-2415;20
543651;-24;561;-509;-897;565;-299;-147;29;-1;1161;107;59;-205;382;-24;-22;932;-532;-584;-6941;8921;11530;-2780;20
543652;499;-288;-2144;1082;293;2207;-143;32;-1;1166;-237;-130;-644;393;-41;-51;-326;-346;2286;-6540;9521;10895;-4038;20
543653;-1053;1294;-2038;-2483;-2032;645;-147;29;-3;1162;442;-920;-729;371;-46;-64;2064;2195;613;-4932;11284;10787;-660;20
543654;-775;2050;-1691;879;375;-901;-149;30;-1;1163;381;-744;-827;403;-46;1;-971;-412;-1042;-5966;10297;11234;-784;20
543655;-132;583;-1860;-951;1259;-244;-149;28;-1;1166;59;-299;-467;398;-25;-12;995;-1097;-259;-5995;10043;11418;-1128;20
543656;90;1673;-2874;2127;4472;2914;-147;33;12;1164;-306;-690;-1728;363;-25;-113;-2275;-4581;2932;-3236;10508;11874;-2562;20
543657;-166;-241;-770;759;592;-1230;-148;36;17;1165;-33;-438;-925;272;-54;-219;-932;-839;-934;-971;11197;11304;-3787;20
543658;-4923;588;-606;-1495;161;-5502;-153;33;13;1166;1967;342;-153;294;-44;-222;1758;-112;-5837;-3678;8527;12954;-3793;20
543659;-104;831;-8137;4790;460;5097;-145;33;10;1171;-172;195;-1538;339;19;-164;-3011;531;4970;-4807;9071;12326;-3332;20
543660;1024;-1455;-67;-1262;-3309;743;-133;37;3;1163;-502;609;845;251;-118;-158;-540;2856;549;-4444;11376;9352;-5640;20
543661;-6501;2419;-142;548;2329;-8878;-147;34;12;1166;2372;-1300;-2426;243;-144;-140;715;-1344;-9815;-2933;10044;11810;-4416;20
543662;-2353;1803;-746;5145;-5613;-237;-153;29;1;1166;893;-65;-1029;312;-30;-147;-5997;6639;853;-6124;7949;12616;-2929;20
543663;1955;163;-3883;883;-1236;2521;-143;31;-14;1163;-1117;-884;-1611;403;-36;64;-353;1232;2004;-6661;11538;9508;735;20
543664;-539;581;-2144;1654;3010;-2282;-145;27;-9;1171;-136;-522;-414;385;-81;86;-1240;-2797;-1688;-6125;11477;99
